pH,Temp,TSS,NO3,PO4,COD,BOD,E.coli
7.81,21.13,3125.45,34.8,121.43,468.72,186.4,785000
7.62,21.91,2648.9,29.6,102.15,432.1,171.8,898400
7.7,22.37,4895.6,38.9,115.82,523.66,201.2,892600
7.77,22.86,3318.25,27.4,109.3,401.84,158.6,655800
7.76,23.35,3584.2,31.2,104.78,479.26,189.4,812400
7.61,22.17,2896.35,32.5,118.64,356.92,149.2,598200
7.82,22.53,3721.4,35.7,98.43,461.55,181.6,733400
7.83,22.29,4510.8,23.6,111.82,602.48,225.8,1054000
7.67,21.67,3054.1,28.9,119.76,398.74,160.2,664200
7.73,22.38,3448.9,37.2,122.3,528.44,210.6,815800
7.57,21.24,2815.35,27.8,124.64,472.36,188.4,781200
7.63,22.48,2890.2,33.1,94.18,386.4,154.8,621600
7.58,21.82,2768.5,30.5,116.74,556.82,214.6,968400
7.79,22,3492.7,34.8,110.92,415.6,162.4,976200
7.61,21.84,3210.85,40.2,129.8,501.26,192.8,843600
7.63,21.93,5624.4,31.6,113.75,587.34,224.2,1012400
7.65,21.38,2675.6,33.8,124.44,452.8,179.6,756800
7.77,21.96,2950.4,32.4,101.86,458.14,182,774200
6.77,21.06,2844.9,29.8,128.74,390.12,158.8,648600
7.58,22,3025.3,36.5,120.8,418.76,167.4,702800
6.87,21.82,4210.9,37.9,131.44,524.1,205.6,902400
7.62,22.27,3188.5,40.4,115.3,529.66,207.8,916000
7.17,22.67,3612.7,35.1,138.75,376.44,149.2,601400
7.91,22.04,3540.85,34.8,112.63,426.28,168.6,715200
7.15,21.94,3895.4,45.6,126.91,463.1,182.2,782600
7.67,21.63,3078.8,31.4,103.54,436.52,174.4,739800
7.62,22.78,3225.9,46.3,117.62,364.18,142.6,580400
7.57,22.37,2745.2,29.9,108.64,618.74,236.8,1108200
7.74,22.28,3986.7,33.5,130.42,479.1,188.4,808600
7.27,21.79,3460.6,35.2,134.6,488.3,190.6,824400
7.7,22,2988.6,27.6,110.82,372.94,146.4,594200
7.66,21.94,2875.4,24.8,117.94,398.4,160.6,648800
7.6,21.87,4105.8,28.5,109.66,509.72,199.2,873600
7.61,21.45,2590.8,27.2,98.74,390.88,155.4,626200
7.75,22.71,3710.6,39.4,99.86,438.94,176.2,748200
7.57,21.93,3018.4,30.6,127.8,470.6,186.4,789600
7.74,21.86,4528.2,28.9,114.73,521.66,204.4,891800
7.68,21.68,2864.5,31.1,103.64,507.52,198.8,865200
7.73,22.1,3284.7,29.6,112.64,360.8,144.2,575400
7.51,21.52,3342.1,36.4,142.3,418.76,167.4,702800
7.63,21.97,3308.4,29.8,126.74,457.86,181.6,770400
7.51,22.38,2990.7,35.7,118.94,498.24,193.2,846200
7.62,21.89,3114.9,32.4,127.4,398.74,160.2,664200
7.69,22.92,3925.8,28.9,100.26,529.66,207.8,916000
7.63,21.53,3280.4,31.2,126.74,356.92,149.2,598200
7.73,22.89,3510.4,30.4,109.18,468.72,186.4,785000
7.72,23.03,3475.6,29.8,121.36,531.6,212,935600
7.77,21.6,3325.2,36.2,113.1,461.55,181.6,733400
7.39,22.24,2790.8,31.8,108.5,579.4,222.4,1002600
7.67,21.9,4418.2,29.6,120.96,602.48,225.8,1054000
7.62,21.96,4230.4,36.8,129.44,587.34,224.2,1012400
7.44,21.87,4856.2,42.5,154.26,612.1,229.4,1084400
7.71,22.26,3165.8,36.4,115.64,348.96,138.4,561800
7.73,22.39,2985.6,36.8,103.14,415.6,168.6,715600
7.79,22.15,2898.4,34.6,92.84,386.4,154.8,621600
7.79,22.36,3426.5,31.8,117.02,457.86,181.6,770400
7.33,22.47,3828.4,39.8,168.6,618.74,229.8,1108200
6.94,22.37,2765.9,40.5,101.24,348.96,198.8,1012400
7.59,22.45,2489.6,23.8,96.12,372.94,160.2,756800
7.85,20.94,2634.4,37.9,142.96,479.26,222.6,873600
7.84,22.78,3912.6,41.2,104.2,556.82,188.4,664200
